product_id,competitor_name,price,recorded_at
1,Amazon,86.4,2025-09-30
1,Amazon,86.98,2025-10-01
1,Amazon,85.94,2025-10-02
1,Amazon,85.53,2025-10-03
1,Amazon,85.63,2025-10-04
1,Amazon,86.55,2025-10-05
1,Amazon,87.06,2025-10-06
1,Amazon,88.52,2025-10-07
1,Amazon,89.89,2025-10-09
1,Amazon,92.73,2025-10-10
1,Amazon,93.55,2025-10-11
1,Amazon,93.41,2025-10-12
1,Amazon,95.82,2025-10-13
1,Amazon,97.5,2025-10-14
1,Amazon,99.9,2025-10-15
1,Amazon,100.01,2025-10-16
1,Amazon,101.4,2025-10-17
1,Amazon,99.81,2025-10-18
1,Amazon,100.89,2025-10-19
1,Amazon,100.81,2025-10-20
1,Amazon,99.24,2025-10-21
1,Amazon,100.51,2025-10-22
1,Amazon,98.32,2025-10-23
1,Amazon,96.03,2025-10-24
1,Amazon,96.38,2025-10-25
1,Amazon,96.94,2025-10-26
1,Amazon,97.92,2025-10-27
1,Amazon,98.62,2025-10-28
1,Amazon,100.16,2025-10-29
1,Amazon,100.75,2025-10-30
1,Amazon,100.31,2025-10-31
1,Amazon,99.92,2025-11-01
1,Amazon,99.24,2025-11-02
1,Amazon,97.54,2025-11-04
1,Amazon,97.53,2025-11-05
1,Amazon,96.99,2025-11-06
1,Amazon,96.86,2025-11-07
1,Amazon,96.72,2025-11-08
1,Amazon,93.4,2025-11-09
1,Amazon,91.91,2025-11-10
1,Amazon,91.31,2025-11-11
1,Amazon,90.75,2025-11-12
1,Amazon,90.53,2025-11-13
1,Amazon,90.36,2025-11-14
1,Amazon,91.49,2025-11-15
1,Amazon,91.32,2025-11-16
1,Amazon,90.47,2025-11-17
1,Amazon,88.25,2025-11-18
1,Amazon,86.32,2025-11-19
1,Amazon,86.42,2025-11-20
1,Amazon,87.06,2025-11-21
1,Amazon,88.23,2025-11-22
1,Amazon,86.93,2025-11-23
1,Amazon,86.08,2025-11-25
1,Amazon,87.84,2025-11-26
1,Amazon,87.62,2025-11-27
1,Amazon,88.94,2025-11-28
1,Amazon,88.84,2025-11-29
1,Amazon,89.82,2025-11-30
1,Amazon,90.7,2025-12-01
1,Amazon,90.69,2025-12-02
1,Amazon,89.43,2025-12-03
1,Amazon,89.03,2025-12-04
1,Amazon,90.55,2025-12-05
1,Amazon,90.99,2025-12-07
1,Amazon,90.65,2025-12-08
1,Amazon,88.84,2025-12-09
1,Amazon,90.5,2025-12-10
1,Amazon,91.61,2025-12-11
1,Amazon,91.65,2025-12-12
1,Amazon,92.1,2025-12-13
1,Amazon,89.95,2025-12-14
1,Amazon,89.71,2025-12-15
1,Amazon,91.47,2025-12-16
1,Amazon,92.9,2025-12-17
1,Amazon,93.65,2025-12-18
1,Amazon,94.05,2025-12-19
1,Amazon,95.38,2025-12-20
1,Amazon,95.52,2025-12-21
1,Amazon,94.09,2025-12-22
1,Amazon,94.57,2025-12-23
1,Amazon,95.54,2025-12-24
1,Amazon,97.35,2025-12-25
1,Amazon,96.2,2025-12-26
1,Amazon,96.6,2025-12-27
1,Amazon,97.05,2025-12-28
1,Amazon,96.31,2025-12-29
1,Amazon,97.41,2025-12-30
1,Amazon,98.83,2025-12-31
1,Amazon,99.02,2026-01-01
1,Amazon,102.0,2026-01-02
1,Amazon,102.14,2026-01-03
1,Amazon,102.1,2026-01-04
1,Amazon,102.01,2026-01-05
1,Amazon,101.48,2026-01-06
1,Amazon,101.25,2026-01-07
1,Amazon,99.93,2026-01-08
1,Amazon,100.09,2026-01-09
1,Amazon,100.53,2026-01-10
1,Amazon,98.1,2026-01-11
1,Amazon,98.29,2026-01-12
1,Amazon,98.61,2026-01-13
1,Amazon,99.46,2026-01-14
1,Amazon,101.11,2026-01-15
1,Amazon,102.33,2026-01-16
1,Amazon,101.71,2026-01-17
1,Amazon,100.92,2026-01-18
1,Amazon,101.7,2026-01-19
1,Amazon,101.07,2026-01-20
1,Amazon,99.58,2026-01-21
1,Amazon,102.38,2026-01-22
1,Amazon,101.92,2026-01-23
1,Amazon,101.05,2026-01-24
1,Amazon,98.25,2026-01-25
1,Amazon,99.07,2026-01-26
1,Amazon,97.69,2026-01-27
1,Amazon,97.49,2026-01-28
1,Amazon,96.9,2026-01-30
1,Amazon,96.67,2026-01-31
1,Amazon,98.07,2026-02-01
1,Amazon,94.81,2026-02-02
1,Amazon,93.49,2026-02-03
1,Amazon,92.07,2026-02-04
1,Amazon,91.44,2026-02-05
1,Amazon,90.94,2026-02-06
1,Amazon,89.33,2026-02-07
1,Amazon,88.17,2026-02-08
1,Amazon,86.89,2026-02-09
1,Amazon,85.81,2026-02-11
1,Amazon,86.27,2026-02-12
1,Amazon,86.87,2026-02-13
1,Amazon,87.06,2026-02-14
1,Amazon,85.67,2026-02-15
1,Amazon,85.2,2026-02-16
1,Amazon,87.15,2026-02-17
1,Amazon,86.82,2026-02-19
1,Amazon,88.03,2026-02-20
1,Amazon,86.09,2026-02-22
1,Amazon,87.15,2026-02-23
1,Amazon,85.43,2026-02-24
1,Amazon,83.15,2026-02-25
1,Amazon,83.8,2026-02-26
1,Amazon,83.56,2026-02-27
1,Amazon,83.45,2026-02-28
1,Amazon,82.88,2026-03-01
1,Amazon,82.48,2026-03-02
1,Amazon,81.89,2026-03-03
1,Amazon,81.17,2026-03-04
1,Amazon,80.73,2026-03-05
1,Amazon,80.29,2026-03-06
1,Amazon,79.01,2026-03-08
1,Amazon,76.7,2026-03-09
1,Amazon,77.43,2026-03-10
1,Amazon,77.92,2026-03-11
1,Amazon,78.0,2026-03-12
1,Amazon,78.42,2026-03-13
1,Amazon,78.9,2026-03-14
1,Amazon,78.46,2026-03-15
1,Amazon,78.23,2026-03-16
1,Amazon,79.55,2026-03-18
1,Amazon,81.86,2026-03-19
1,Amazon,83.84,2026-03-20
1,Amazon,85.19,2026-03-21
1,Amazon,84.84,2026-03-22
1,Amazon,84.7,2026-03-23
1,Amazon,84.13,2026-03-24
1,Amazon,84.88,2026-03-25
1,Amazon,82.54,2026-03-26
1,Amazon,82.54,2026-03-27
1,Amazon,82.7,2026-03-28
1,BestBuy,83.28,2025-09-30
1,BestBuy,82.07,2025-10-01
1,BestBuy,82.46,2025-10-02
1,BestBuy,81.5,2025-10-04
1,BestBuy,81.97,2025-10-05
1,BestBuy,81.53,2025-10-06
1,BestBuy,81.55,2025-10-07
1,BestBuy,82.92,2025-10-08
1,BestBuy,82.71,2025-10-09
1,BestBuy,83.89,2025-10-10
1,BestBuy,83.08,2025-10-11
1,BestBuy,83.91,2025-10-12
1,BestBuy,85.66,2025-10-13
1,BestBuy,83.37,2025-10-14
1,BestBuy,82.8,2025-10-15
1,BestBuy,83.58,2025-10-16
1,BestBuy,83.55,2025-10-17
1,BestBuy,84.08,2025-10-18
1,BestBuy,83.59,2025-10-19
1,BestBuy,83.76,2025-10-20
1,BestBuy,83.67,2025-10-21
1,BestBuy,84.87,2025-10-22
1,BestBuy,85.13,2025-10-23
1,BestBuy,85.44,2025-10-24
1,BestBuy,84.96,2025-10-25
1,BestBuy,84.37,2025-10-26
1,BestBuy,83.81,2025-10-27
1,BestBuy,84.06,2025-10-28
1,BestBuy,83.46,2025-10-29
1,BestBuy,83.54,2025-10-30
1,BestBuy,85.39,2025-10-31
1,BestBuy,86.01,2025-11-01
1,BestBuy,85.39,2025-11-02
1,BestBuy,86.3,2025-11-03
1,BestBuy,85.54,2025-11-04
1,BestBuy,83.1,2025-11-05
1,BestBuy,81.73,2025-11-06
1,BestBuy,79.53,2025-11-07
1,BestBuy,78.81,2025-11-08
1,BestBuy,78.43,2025-11-09
1,BestBuy,79.6,2025-11-10
1,BestBuy,79.48,2025-11-11
1,BestBuy,78.85,2025-11-12
1,BestBuy,79.19,2025-11-13
1,BestBuy,76.66,2025-11-14
1,BestBuy,76.45,2025-11-15
1,BestBuy,76.73,2025-11-16
1,BestBuy,74.95,2025-11-17
1,BestBuy,75.45,2025-11-19
1,BestBuy,74.68,2025-11-20
1,BestBuy,74.85,2025-11-21
1,BestBuy,76.51,2025-11-22
1,BestBuy,76.3,2025-11-23
1,BestBuy,76.18,2025-11-24
1,BestBuy,75.43,2025-11-25
1,BestBuy,74.35,2025-11-26
1,BestBuy,73.78,2025-11-28
1,BestBuy,73.61,2025-11-29
1,BestBuy,72.98,2025-11-30
1,BestBuy,73.22,2025-12-01
1,BestBuy,73.36,2025-12-02
1,BestBuy,74.15,2025-12-03
1,BestBuy,73.6,2025-12-04
1,BestBuy,73.3,2025-12-05
1,BestBuy,72.41,2025-12-06
1,BestBuy,72.02,2025-12-07
1,BestBuy,72.38,2025-12-08
1,BestBuy,73.1,2025-12-09
1,BestBuy,72.38,2025-12-10
1,BestBuy,73.26,2025-12-11
1,BestBuy,74.61,2025-12-12
1,BestBuy,75.16,2025-12-13
1,BestBuy,77.07,2025-12-14
1,BestBuy,76.6,2025-12-15
1,BestBuy,75.72,2025-12-16
1,BestBuy,74.39,2025-12-17
1,BestBuy,76.03,2025-12-18
1,BestBuy,76.97,2025-12-19
1,BestBuy,77.27,2025-12-20
1,BestBuy,77.91,2025-12-21
1,BestBuy,77.24,2025-12-22
1,BestBuy,79.93,2025-12-23
1,BestBuy,80.48,2025-12-24
1,BestBuy,81.02,2025-12-25
1,BestBuy,82.18,2025-12-26
1,BestBuy,83.12,2025-12-27
1,BestBuy,83.81,2025-12-28
1,BestBuy,83.48,2025-12-29
1,BestBuy,84.42,2025-12-30
1,BestBuy,86.81,2025-12-31
1,BestBuy,88.69,2026-01-01
1,BestBuy,90.86,2026-01-02
1,BestBuy,90.78,2026-01-03
1,BestBuy,90.15,2026-01-04
1,BestBuy,90.93,2026-01-06
1,BestBuy,92.54,2026-01-07
1,BestBuy,91.04,2026-01-08
1,BestBuy,93.08,2026-01-09
1,BestBuy,93.24,2026-01-10
1,BestBuy,93.08,2026-01-11
1,BestBuy,92.23,2026-01-12
1,BestBuy,90.65,2026-01-13
1,BestBuy,91.77,2026-01-14
1,BestBuy,92.05,2026-01-15
1,BestBuy,90.78,2026-01-16
1,BestBuy,89.5,2026-01-17
1,BestBuy,89.23,2026-01-18
1,BestBuy,91.09,2026-01-19
1,BestBuy,90.84,2026-01-20
1,BestBuy,89.2,2026-01-21
1,BestBuy,88.9,2026-01-22
1,BestBuy,88.55,2026-01-23
1,BestBuy,85.59,2026-01-24
1,BestBuy,85.41,2026-01-25
1,BestBuy,85.02,2026-01-26
1,BestBuy,85.55,2026-01-27
1,BestBuy,87.24,2026-01-28
1,BestBuy,88.17,2026-01-29
1,BestBuy,87.62,2026-01-30
1,BestBuy,86.16,2026-01-31
1,BestBuy,88.5,2026-02-01
1,BestBuy,88.21,2026-02-02
1,BestBuy,87.86,2026-02-03
1,BestBuy,87.44,2026-02-04
1,BestBuy,87.24,2026-02-05
1,BestBuy,86.67,2026-02-06
1,BestBuy,85.64,2026-02-07
1,BestBuy,84.64,2026-02-08
1,BestBuy,84.16,2026-02-09
1,BestBuy,83.16,2026-02-10
1,BestBuy,81.99,2026-02-11
1,BestBuy,81.64,2026-02-12
1,BestBuy,80.94,2026-02-13
1,BestBuy,81.94,2026-02-14
1,BestBuy,78.89,2026-02-15
1,BestBuy,79.49,2026-02-16
1,BestBuy,80.24,2026-02-17
1,BestBuy,77.82,2026-02-18
1,BestBuy,77.1,2026-02-19
1,BestBuy,76.37,2026-02-20
1,BestBuy,73.68,2026-02-22
1,BestBuy,72.38,2026-02-23
1,BestBuy,73.6,2026-02-24
1,BestBuy,74.14,2026-02-25
1,BestBuy,75.01,2026-02-26
1,BestBuy,75.42,2026-02-27
1,BestBuy,74.19,2026-02-28
1,BestBuy,73.54,2026-03-01
1,BestBuy,73.82,2026-03-02
1,BestBuy,72.62,2026-03-03
1,BestBuy,73.14,2026-03-04
1,BestBuy,72.87,2026-03-05
1,BestBuy,72.51,2026-03-06
1,BestBuy,73.13,2026-03-07
1,BestBuy,73.55,2026-03-08
